time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-11-14T18:13:53.150Z,9.8298,124.0977,10,4.7,mb,,90,3.109,0.93,us,usb000kxyj,2022-07-26T01:38:54.842Z,"7 km NW of Batuan, Philippines",earthquake,,1.8,0.072,,reviewed,us,us
2013-11-12T05:21:22.110Z,9.8868,124.1114,10,4.8,mb,,80,3.153,1.03,us,usb000kw1a,2022-07-26T01:25:32.721Z,"3 km SE of Sagbayan, Philippines",earthquake,,1.8,0.109,,reviewed,us,us
2013-11-10T13:21:08.450Z,9.8545,123.8917,10,4.4,mb,,77,3.231,1.24,us,usb000kz28,2014-01-17T00:29:15.000Z,"3 km WSW of Bagacay, Philippines",earthquake,,1.9,0.17,,reviewed,us,us
2013-11-07T07:31:48.560Z,9.8277,123.9798,10,4.5,mb,,133,23.371,0.62,us,usb000ky78,2014-01-17T00:29:10.000Z,"7 km N of Balilihan, Philippines",earthquake,,4.2,0.15,,reviewed,us,us
2013-11-04T20:59:04.640Z,9.9707,124.0653,10,4.6,mb,,154,20.049,0.56,us,usb000kyii,2022-07-26T03:16:02.491Z,"1 km E of Nahawan, Philippines",earthquake,,2,0.193,,reviewed,us,us
2013-11-01T13:58:39.750Z,9.8433,124.153,10,5,mb,,81,5.274,1.09,us,usb000kqyn,2022-07-26T00:48:51.269Z,"1 km WSW of Nueva Fuerza, Philippines",earthquake,,1.8,0.065,,reviewed,us,us
2013-10-31T10:18:30.230Z,9.9509,124.196,10,4.3,mb,,158,3.172,1.2,us,usb000kyd7,2014-01-10T10:03:39.000Z,"11 km WNW of Dagohoy, Philippines",earthquake,,2.6,0.266,,reviewed,us,us
2013-10-31T10:11:45.880Z,9.8689,124.0985,20.58,4.6,mb,,100,3.143,1,us,usc000ksc4,2022-07-26T00:45:50.757Z,"5 km S of Sagbayan, Philippines",earthquake,,4.3,0.095,,reviewed,us,us
2013-10-29T15:41:20.320Z,10.0483,124.2874,10,4.8,mb,,114,3.223,1.08,us,usb000kybg,2022-07-26T02:01:16.132Z,"5 km WNW of Hinlayagan Ilaud, Philippines",earthquake,,1.8,0.099,,reviewed,us,us
2013-10-25T16:59:48.860Z,9.7758,124.1243,10,4.6,mb,,100,3.049,0.74,us,usc000kn4e,2022-07-26T00:32:34.655Z,"2 km WSW of Batuan, Philippines",earthquake,,1.8,0.089,,reviewed,us,us
2013-10-25T04:21:20.120Z,9.982,124.3423,9.99,4.5,mb,,191,3.141,1.12,us,usb000kx9d,2014-01-03T00:32:52.000Z,"0 km SSE of San Miguel, Philippines",earthquake,,3.1,0.205,,reviewed,us,us
2013-10-25T03:01:09.890Z,10.0085,124.2635,10,4.3,mb,,146,3.196,0.85,us,usb000kx9c,2022-07-26T02:21:04.363Z,"8 km WSW of Hinlayagan Ilaud, Philippines",earthquake,,2.8,0.202,,reviewed,us,us
2013-10-23T05:28:46.620Z,9.7886,123.8353,10,4.2,mb,,117,3.205,0.72,us,usb000kx7d,2014-01-03T00:32:51.000Z,"4 km ESE of Loon, Philippines",earthquake,,4.4,0.263,,reviewed,us,us
2013-10-22T18:42:02.070Z,10.0082,124.155,12.86,5.1,mb,,34,3.241,1.15,us,usb000kign,2022-07-26T00:23:23.940Z,"10 km NE of Canmaya Diot, Philippines",earthquake,,3,0.045,,reviewed,us,us
2013-10-22T12:29:32.910Z,9.8813,124.4493,10,4.5,mb,,71,3.008,1.15,us,usb000kx6q,2014-01-03T00:32:50.000Z,"1 km SSE of Alicia, Philippines",earthquake,,1.9,0.102,,reviewed,us,us
2013-10-22T03:13:08.500Z,9.6891,124.0703,10,4.3,mb,,105,3,1.06,us,usb000kx6b,2014-01-03T00:32:50.000Z,"6 km NE of Loboc, Philippines",earthquake,,1.9,0.161,,reviewed,us,us
2013-10-21T14:22:17.630Z,10.1421,124.2947,20.06,4.6,mb,,145,3.306,1.43,us,usb000khuw,2022-07-26T00:01:22.086Z,"2 km SW of San Francisco, Philippines",earthquake,,3.1,0.114,,reviewed,us,us
2013-10-21T11:43:15.900Z,10.0619,123.99,10,4.5,mb,,137,3.362,0.72,us,usb000khu2,2013-12-30T23:41:16.000Z,"11 km NNW of Clarin, Philippines",earthquake,,1.9,0.109,,reviewed,us,us
2013-10-21T01:12:53.670Z,9.9291,123.8402,10,4.5,mb,,162,3.321,0.69,us,usb000kx59,2013-12-30T23:41:16.000Z,"4 km WNW of San Isidro, Philippines",earthquake,,1.9,0.157,,reviewed,us,us
2013-10-20T23:34:12.770Z,9.9204,124.1584,10,4.8,mb,,36,3.161,0.85,us,usb000khqk,2022-07-26T00:18:26.287Z,"7 km ESE of Canmaya Diot, Philippines",earthquake,,1.8,0.061,,reviewed,us,us
2013-10-20T23:22:48.690Z,9.6778,124.2559,10,4.3,mb,,106,2.903,0.84,us,usc000kpfq,2013-12-30T23:41:16.000Z,"2 km SW of Estaca, Philippines",earthquake,,1.8,0.169,,reviewed,us,us
2013-10-20T23:03:20.310Z,9.7837,124.0278,23.14,5.3,mb,,32,3.102,0.85,us,usb000khq7,2022-07-26T00:17:25.081Z,"6 km ENE of Balilihan, Philippines",earthquake,,3.1,0.041,,reviewed,us,us
2013-10-20T10:30:35.720Z,9.6599,123.8095,10,4.5,mb,,179,8.336,0.99,us,usc000kpfd,2013-12-30T23:41:15.000Z,"3 km NNW of Songculan, Philippines",earthquake,,1.9,0.15,,reviewed,us,us
2013-10-20T08:05:39.580Z,9.7683,123.6983,10,5.3,mb,,37,3.263,1.01,us,usb000khj3,2022-07-26T00:10:27.323Z,"10 km WSW of Loon, Philippines",earthquake,,1.7,0.044,,reviewed,us,us
2013-10-20T06:23:57.460Z,9.8651,124.1155,10,4.7,mb,,53,8.696,0.72,us,usb000khit,2013-12-30T23:41:15.000Z,"6 km WNW of Nueva Fuerza, Philippines",earthquake,,1.9,0.062,,reviewed,us,us
2013-10-20T01:45:35.090Z,9.8521,124.0508,23.14,4.9,mb,,36,3.15,0.64,us,usb000khgz,2022-07-26T00:07:46.087Z,"8 km SSW of Sagbayan, Philippines",earthquake,,3.2,0.063,,reviewed,us,us
2013-10-19T22:53:01.260Z,10.0591,124.187,10,4.7,mb,,59,3.273,0.7,us,usc000kpej,2022-07-26T00:38:48.254Z,"10 km SSE of Jetafe, Philippines",earthquake,,1.9,0.108,,reviewed,us,us
